"DateTime","Players","Average Players","Flags"
"2022-05-25 00:00:00",4090,,
"2022-05-26 00:00:00",4475,,
"2022-05-27 00:00:00",6613,,
"2022-05-28 00:00:00",7342,,
"2022-05-29 00:00:00",5606,,
"2022-05-30 00:00:00",4311,,
"2022-05-31 00:00:00",6013,,
"2022-06-01 00:00:00",4926,,
"2022-06-02 00:00:00",4974,,
"2022-06-03 00:00:00",6506,,
"2022-06-04 00:00:00",6916,,
"2022-06-05 00:00:00",7944,,
"2022-06-06 00:00:00",5189,,
"2022-06-07 00:00:00",4391,,
"2022-06-08 00:00:00",4211,,
"2022-06-09 00:00:00",3988,,
"2022-06-10 00:00:00",5527,,
"2022-06-11 00:00:00",6111,,
"2022-06-12 00:00:00",5113,,
"2022-06-13 00:00:00",3916,,
"2022-06-14 00:00:00",3872,,
"2022-06-15 00:00:00",3652,,
"2022-06-16 00:00:00",3500,,
"2022-06-17 00:00:00",5078,,
"2022-06-18 00:00:00",7345,,
"2022-06-19 00:00:00",6385,,
"2022-06-20 00:00:00",4951,,
"2022-06-21 00:00:00",5433,,
"2022-06-22 00:00:00",4925,,
"2022-06-23 00:00:00",4636,,
"2022-06-24 00:00:00",6402,,
"2022-06-25 00:00:00",6002,,
"2022-06-26 00:00:00",5490,,
"2022-06-27 00:00:00",4382,,
"2022-06-28 00:00:00",4434,,
"2022-06-29 00:00:00",3952,,
"2022-06-30 00:00:00",3723,,
"2022-07-01 00:00:00",5403,,
"2022-07-02 00:00:00",5919,,
"2022-07-03 00:00:00",4691,,
"2022-07-04 00:00:00",4396,,
"2022-07-05 00:00:00",4143,,
"2022-07-06 00:00:00",3891,,
"2022-07-07 00:00:00",3828,,
"2022-07-08 00:00:00",5568,,
"2022-07-09 00:00:00",6298,,
"2022-07-10 00:00:00",4933,,
"2022-07-11 00:00:00",4068,,
"2022-07-12 00:00:00",4050,,
"2022-07-13 00:00:00",4115,,
"2022-07-14 00:00:00",4150,,
"2022-07-15 00:00:00",5217,,
"2022-07-16 00:00:00",6099,,
"2022-07-17 00:00:00",5387,,
"2022-07-18 00:00:00",4229,,
"2022-07-19 00:00:00",4574,,
"2022-07-20 00:00:00",4369,,
"2022-07-21 00:00:00",4333,,
"2022-07-22 00:00:00",5665,,
"2022-07-23 00:00:00",6713,,
"2022-07-24 00:00:00",6187,,
"2022-07-25 00:00:00",5048,,
"2022-07-26 00:00:00",4854,,
"2022-07-27 00:00:00",5017,,
"2022-07-28 00:00:00",4968,,
"2022-07-29 00:00:00",6225,,
"2022-07-30 00:00:00",6277,,
"2022-07-31 00:00:00",6578,,
"2022-08-01 00:00:00",5152,,
"2022-08-02 00:00:00",5565,,
"2022-08-03 00:00:00",5117,,
"2022-08-04 00:00:00",4746,,
"2022-08-05 00:00:00",6301,,
"2022-08-06 00:00:00",6774,,
"2022-08-07 00:00:00",5926,,
"2022-08-08 00:00:00",6545,,
"2022-08-09 00:00:00",5603,,
"2022-08-10 00:00:00",5127,,
"2022-08-11 00:00:00",4771,,
"2022-08-12 00:00:00",5799,,
"2022-08-13 00:00:00",6721,,
"2022-08-14 00:00:00",7116,,
"2022-08-15 00:00:00",5667,,
"2022-08-16 00:00:00",4683,,
"2022-08-17 00:00:00",4259,,
"2022-08-18 00:00:00",3989,,
"2022-08-19 00:00:00",5613,,
"2022-08-20 00:00:00",6993,,
"2022-08-21 00:00:00",5590,,
"2022-08-22 00:00:00",4360,,
"2022-08-23 00:00:00",4990,,
"2022-08-24 00:00:00",4049,,
"2022-08-25 00:00:00",3994,,
"2022-08-26 00:00:00",5520,,
"2022-08-27 00:00:00",6064,,
"2022-08-28 00:00:00",4962,,
"2022-08-29 00:00:00",3863,,
"2022-08-30 00:00:00",4131,,
"2022-08-31 00:00:00",3506,,
"2022-09-01 00:00:00",3416,,
"2022-09-02 00:00:00",5119,,
"2022-09-03 00:00:00",6251,,
"2022-09-04 00:00:00",5194,,
"2022-09-05 00:00:00",4678,,
"2022-09-06 00:00:00",3739,,
"2022-09-07 00:00:00",3183,,
"2022-09-08 00:00:00",4018,,
"2022-09-09 00:00:00",3823,,
"2022-09-10 00:00:00",4416,,
"2022-09-11 00:00:00",5651,,
"2022-09-12 00:00:00",4276,,
"2022-09-13 00:00:00",3150,,
"2022-09-14 00:00:00",2953,,
"2022-09-15 00:00:00",2986,,
"2022-09-16 00:00:00",4473,,
"2022-09-17 00:00:00",5899,,
"2022-09-18 00:00:00",4246,,
"2022-09-19 00:00:00",3254,,
"2022-09-20 00:00:00",3493,,
"2022-09-21 00:00:00",3156,,
"2022-09-22 00:00:00",3107,,
"2022-09-23 00:00:00",4482,1684,
"2022-09-24 00:00:00",8927,2757,
"2022-09-25 00:00:00",4756,2118,
"2022-09-26 00:00:00",3476,1507,
"2022-09-27 00:00:00",3483,1335,
"2022-09-28 00:00:00",3200,1274,
"2022-09-29 00:00:00",3151,1295,
"2022-09-30 00:00:00",4516,1747,
"2022-10-01 00:00:00",5648,2300,
"2022-10-02 00:00:00",6088,2408,
"2022-10-03 00:00:00",4446,1839,
"2022-10-04 00:00:00",3852,1434,
"2022-10-05 00:00:00",3370,1301,
"2022-10-06 00:00:00",3285,1303,
"2022-10-07 00:00:00",4185,1573,
"2022-10-08 00:00:00",4563,1959,
"2022-10-09 00:00:00",5249,2134,
"2022-10-10 00:00:00",3280,1492,
"2022-10-11 00:00:00",2773,1149,
"2022-10-12 00:00:00",2958,1226,
"2022-10-13 00:00:00",2750,1199,
"2022-10-14 00:00:00",4151,1548,
"2022-10-15 00:00:00",5032,2027,
"2022-10-16 00:00:00",4044,1812,
"2022-10-17 00:00:00",2986,1198,
"2022-10-18 00:00:00",3252,1220,
"2022-10-19 00:00:00",2943,1163,
"2022-10-20 00:00:00",2842,1167,
"2022-10-21 00:00:00",4130,1565,
"2022-10-22 00:00:00",5221,2086,
"2022-10-23 00:00:00",4364,1902,
"2022-10-24 00:00:00",2939,1266,
"2022-10-25 00:00:00",3325,1328,
"2022-10-26 00:00:00",3468,1439,
"2022-10-27 00:00:00",3451,1449,
"2022-10-28 00:00:00",4763,1761,
"2022-10-29 00:00:00",5885,2292,
"2022-10-30 00:00:00",4630,1971,
"2022-10-31 00:00:00",3386,1338,
"2022-11-01 00:00:00",3198,1270,
"2022-11-02 00:00:00",3046,1252,
"2022-11-03 00:00:00",3078,1276,
"2022-11-04 00:00:00",4882,1651,
"2022-11-05 00:00:00",5730,2203,
"2022-11-06 00:00:00",4565,1919,
"2022-11-07 00:00:00",2567,1143,
"2022-11-08 00:00:00",3152,1236,
"2022-11-09 00:00:00",2938,1170,
"2022-11-10 00:00:00",3026,1229,
"2022-11-11 00:00:00",5224,1847,
"2022-11-12 00:00:00",6448,2526,
"2022-11-13 00:00:00",5859,2427,
"2022-11-14 00:00:00",5512,2067,
"2022-11-15 00:00:00",6668,2430,
"2022-11-16 00:00:00",7750,2729,
"2022-11-17 00:00:00",8875,3043,
"2022-11-18 00:00:00",11991,3994,
"2022-11-19 00:00:00",15557,5336,
"2022-11-20 00:00:00",15195,5280,
"2022-11-21 00:00:00",12867,4134,
"2022-11-22 00:00:00",14421,4456,
"2022-11-23 00:00:00",15436,4984,
"2022-11-24 00:00:00",16590,5569,
"2022-11-25 00:00:00",25203,7707,
"2022-11-26 00:00:00",31871,10384,
"2022-11-27 00:00:00",34454,10184,
"2022-11-28 00:00:00",33871,10225,
"2022-11-29 00:00:00",44220,12734,
"2022-11-30 00:00:00",54355,15591,
"2022-12-01 00:00:00",57726,16643,
"2022-12-02 00:00:00",70394,20776,
"2022-12-03 00:00:00",86340,27145,
"2022-12-04 00:00:00",93497,28039,
"2022-12-05 00:00:00",82404,26548,
"2022-12-06 00:00:00",166452,45374,
"2022-12-07 00:00:00",141823,42213,
"2022-12-08 00:00:00",131219,39084,
"2022-12-09 00:00:00",135698,40220,
"2022-12-10 00:00:00",147741,45483,
"2022-12-11 00:00:00",152030,45438,
"2022-12-12 00:00:00",152431,42650,
"2022-12-13 00:00:00",158563,44899,
"2022-12-14 00:00:00",150413,39228,
"2022-12-15 00:00:00",184563,52137,
"2022-12-16 00:00:00",201935,58819,
