"DateTime","Players","Players Trend"
"2023-04-22 06:00:00",15753,21352.765252976198
"2023-04-22 06:10:00",16406,21337.86983989198
"2023-04-22 06:20:00",16957,21321.06024029983
"2023-04-22 06:30:00",17372,21302.717117228844
"2023-04-22 06:40:00",17961,21284.28659611994
"2023-04-22 06:50:00",18439,21264.620339368397
"2023-04-22 07:00:00",18873,21244.235987103188
"2023-04-22 07:10:00",19277,21223.63027033731
"2023-04-22 07:20:00",19695,21202.74083719137
"2023-04-22 07:30:00",20084,21181.557012648816
"2023-04-22 07:40:00",20552,21159.70451664463
"2023-04-22 07:50:00",20883,21136.989297426157
"2023-04-22 08:00:00",21229,21113.855985449743
"2023-04-22 08:10:00",21512,21090.78529748127
"2023-04-22 08:20:00",21742,21068.287388392862
"2023-04-22 08:30:00",21960,21046.19509548612
"2023-04-22 08:40:00",22146,21024.194954254857
"2023-04-22 08:50:00",22333,21002.06786678793
"2023-04-22 09:00:00",22269,20979.314380787044
"2023-04-22 09:10:00",22142,20957.438891644626
"2023-04-22 09:20:00",21924,20935.95723104057
"2023-04-22 09:30:00",21748,20915.93974247686
"2023-04-22 09:40:00",21408,20895.8208429784
"2023-04-22 09:50:00",21221,20877.396563602302
"2023-04-22 10:00:00",20999,20858.974206349216
"2023-04-22 10:10:00",20868,20841.92169587743
"2023-04-22 10:20:00",20863,20826.590181327167
"2023-04-22 10:30:00",20917,20811.751116071435
"2023-04-22 10:40:00",21237,20798.597938712534
"2023-04-22 10:50:00",21754,20786.188657407412
"2023-04-22 11:00:00",22615,20773.687334656093
"2023-04-22 11:10:00",23771,20761.273213596785
"2023-04-22 11:20:00",25023,20749.053571428576
"2023-04-22 11:30:00",26966,20738.297495039693
"2023-04-22 11:40:00",29237,20726.25925236994
"2023-04-22 11:50:00",31693,20712.790846836426
"2023-04-22 12:00:00",34673,20698.482638888898
"2023-04-22 12:10:00",38117,20681.63799327602
"2023-04-22 12:20:00",40989,20662.44503003749
"2023-04-22 12:30:00",43730,20643.88744212964
"2023-04-22 12:40:00",46979,20627.734567901243
"2023-04-22 12:50:00",50720,20612.71968005953
"2023-04-22 13:00:00",54351,20594.881882440484
"2023-04-22 13:10:00",58034,20576.026620370372
"2023-04-22 13:20:00",61404,20556.901151895952
"2023-04-22 13:30:00",64530,20536.749483300267
"2023-04-22 13:40:00",66921,20513.29292052469
"2023-04-22 13:50:00",69027,20490.067660108023
"2023-04-22 14:00:00",70569,20463.979497354496
"2023-04-22 14:10:00",71675,20435.907793209877
"2023-04-22 14:20:00",72110,20403.55729166667
"2023-04-22 14:30:00",72059,20368.91059027778
"2023-04-22 14:40:00",71177,20331.22266313933
"2023-04-22 14:50:00",69495,20288.38318107915
"2023-04-22 15:00:00",66979,20242.391059027777
"2023-04-22 15:10:00",62784,20189.84600625551
"2023-04-22 15:20:00",58856,20132.86334325397
"2023-04-22 15:30:00",54916,20074.35915798611
"2023-04-22 15:40:00",50132,20012.101183586856
"2023-04-22 15:50:00",45608,19951.20589106591
"2023-04-22 16:00:00",41525,19893.585069444438
"2023-04-22 16:10:00",36982,19838.92860587521
"2023-04-22 16:20:00",33339,19787.532620976624
"2023-04-22 16:30:00",30535,19741.057457010582
"2023-04-22 16:40:00",28230,19698.442226080242
"2023-04-22 16:50:00",26094,19658.04828386794
"2023-04-22 17:00:00",24351,19621.93524718915
"2023-04-22 17:10:00",22734,19588.937300209433
"2023-04-22 17:20:00",21317,19558.060019841265
"2023-04-22 17:30:00",20206,19530.59669518849
"2023-04-22 17:40:00",19081,19504.907531415345
"2023-04-22 17:50:00",18173,19480.868417245372
"2023-04-22 18:00:00",17147,19457.93774801588
"2023-04-22 18:10:00",16281,19437.757960620595
"2023-04-22 18:20:00",15528,19419.146067570553
"2023-04-22 18:30:00",14825,19401.49494667659
"2023-04-22 18:40:00",14218,19385.391920194008
"2023-04-22 18:50:00",13706,19369.68632536927
"2023-04-22 19:00:00",13170,19354.68967013889
"2023-04-22 19:10:00",12626,19341.100594549167
"2023-04-22 19:20:00",12095,19328.5170579806
"2023-04-22 19:30:00",11579,19316.80999917328
"2023-04-22 19:40:00",11116,19306.251694775136
"2023-04-22 19:50:00",10746,19296.067987351187
"2023-04-22 20:00:00",10352,19286.574735449733
"2023-04-22 20:10:00",9975,19277.828824266973
"2023-04-22 20:20:00",9589,19269.2850873567
"2023-04-22 20:30:00",9278,19261.41793774801
"2023-04-22 20:40:00",8987,19254.249683090824
"2023-04-22 20:50:00",8561,19247.265280533502
"2023-04-22 21:00:00",8203,19241.479869378298
"2023-04-22 21:10:00",7874,19236.745962852725
"2023-04-22 21:20:00",7553,19232.062114197524
"2023-04-22 21:30:00",7206,19227.9958870701
"2023-04-22 21:40:00",6967,19224.702780533506
"2023-04-22 21:50:00",6794,19221.853346836415
"2023-04-22 22:00:00",6657,19218.534598214283
"2023-04-22 22:10:00",6447,19214.853746417542
"2023-04-22 22:20:00",6170,19211.11837935405
"2023-04-22 22:30:00",5910,19207.995876736106
"2023-04-22 22:40:00",5782,19205.037257495587
"2023-04-22 22:50:00",5571,19201.634421158506
"2023-04-22 23:00:00",5361,19198.447627314814
"2023-04-22 23:10:00",5057,19195.617518187828
"2023-04-22 23:20:00",4894,19193.270268408287
"2023-04-22 23:30:00",4713,19190.991908482138
"2023-04-22 23:40:00",4579,19189.323929398142
"2023-04-22 23:50:00",4532,19187.975391313925
"2023-04-23 00:00:00",4462,19186.128885582002
"2023-04-23 00:10:00",4404,19184.367917768952
"2023-04-23 00:20:00",4439,19182.58613040123
"2023-04-23 00:30:00",4522,19180.42176132605
"2023-04-23 00:40:00",4590,19178.06542107583
"2023-04-23 00:50:00",4660,19175.4300009645
"2023-04-23 01:00:00",4770,19172.64955357142
"2023-04-23 01:10:00",4889,19169.286186204798
"2023-04-23 01:20:00",4970,19165.54585537918
"2023-04-23 01:30:00",5129,19161.876612103162
"2023-04-23 01:40:00",5281,19157.58245838844
"2023-04-23 01:50:00",5472,19152.661826912463
"2023-04-23 02:00:00",5694,19147.03819444443
"2023-04-23 02:10:00",5978,19140.75917658729
